[08:48:53]设备[ID107Plus HTR]F4:13:79:5A:08:80连接了.....
[08:50:21] 46 bb a9 bb a9 ca 66 5f 6a 69 8b 69 69 8b 69 69 8b 69 69 8b 
[08:50:21] 46 bb a9 bb a9 ca 66 60 69 69 8b 69 69 8b 69 69 8b 69 69 8b 
[08:50:21] 46 bb a9 bb a9 ca 66 61 69 69 8b 69 69 8b 69 69 8b 69 69 8b 
[08:50:22] 46 bb a9 bb aa ca 66 62 69 69 8b 69 69 8a 69 69 8a 69 69 8a 
[08:50:22] 46 bb ab bb ac ca 55 63 69 69 8a 69 69 8a 69 69 8a 69 69 8a 
[08:50:22] 46 bb ac bb ac ca 55 64 68 69 8a 68 68 8a 68 68 8a 68 68 8a 
[08:50:22] 46 bb ac bb ac ca 55 65 68 68 8a 68 68 8a 68 68 8a 68 68 8a 
[08:50:22] 46 bb 99 bb 72 ca 55 66 68 68 8a 68 68 8a 68 68 8a 68 68 8a 
[08:50:22] 46 bb 25 ba 9d ca 55 67 68 68 8a 68 68 8a 68 68 8a 68 68 8a 
[08:50:22] 46 b9 8f b8 0e ca 55 68 68 68 8a 68 68 8a 68 68 8a 68 68 8a 
[08:50:22] 46 b6 8e b5 5a ca 55 69 68 68 8a 68 68 8a 68 68 8a 68 68 8a 
[08:50:22] 46 b4 c0 b4 74 ca 55 6a 68 68 8a 68 68 8a 68 68 8a 68 68 8a 
[08:50:22] 46 b4 77 b4 7b ca 55 6b 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:22] 46 b4 7f b4 73 ca 55 6c 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:22] 46 b4 59 b4 2b ca 55 6d 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 b3 ee b3 aa ca 55 6e 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 b3 6a b3 34 ca 55 6f 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 b3 0a b2 e6 ca 55 70 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 b2 cb b2 b6 ca 55 71 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 b2 a3 b2 96 ca 88 72 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 b2 88 b2 7e ca 88 73 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 b2 76 b2 6f ca 88 74 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 b2 6b b2 68 ca 88 75 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 b2 60 af 12 ca 88 76 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 a8 7d 9e 97 ca 88 77 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 94 b6 8e 0b ca 88 78 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 8a ab 8a 80 ca 88 79 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:23] 46 8a 5b 8a 3a ca 88 7a 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 8a 19 89 f8 ca 88 7b 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 89 d1 89 aa ca 88 7c 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 89 85 89 63 ca 88 7d 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 89 49 89 2f ca 88 7e 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
